Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","4281","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","338","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","95","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","174","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","9","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","275","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","9","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","381","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2515","Rye and products","2017","2017","1000 tonnes","3","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2516","Oats","2017","2017","1000 tonnes","34","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","2437","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","970","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","3","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2516","Oats","2017","2017","1000 tonnes","64","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","5","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","3","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","63","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","2680","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","70","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","75","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","0","S","Standardized data"
